doi	text	study type	center
10.1101/2020.07.16.20155531	Safety of Hydroxychloroquine among Outpatient Clinical Trial Participants for COVID-19. Introduction: Use of hydroxychloroquine in hospitalized patients with COVID-19, especially in combination with azithromycin, has raised safety concerns. Here, we report safety data from three outpatient randomized clinical trials. Methods: We conducted three randomized, double-blind, placebo-controlled trials investigating hydroxychloroquine as pre-exposure prophylaxis, post-exposure prophylaxis and early treatment for COVID-19. We excluded individuals with contraindications to hydroxychloroquine. We collected side effects and serious adverse events. We report descriptive analyses of our findings. Results: We enrolled 2,795 participants. The median age of research participants was 40 (IQR 34-49) years, and 59% (1633/2767) reported no chronic medical conditions. Overall 2,324 (84%) participants reported side effect data, and 638 (27%) reported at least one medication side effect. Side effects were reported in 29% with daily, 36% with twice weekly, 31% with once weekly hydroxychloroquine compared to 19% with placebo. The most common side effects were upset stomach or nausea (25% with daily, 18% with twice weekly, 16% with weekly, vs. 10% for placebo), followed by diarrhea, vomiting, or abdominal pain (23% for daily, 16% twice weekly, 12% weekly, vs. 6% for placebo). Two individuals were hospitalized for atrial arrhythmias, one on placebo and one on twice weekly hydroxychloroquine. No sudden deaths occurred. Conclusion: Data from three outpatient COVID-19 trials demonstrated that gastrointestinal side effects were common but mild with the use of hydroxychloroquine, while serious side effects were rare. No deaths occurred related to hydroxychloroquine. Randomized clinical trials can safely investigate whether hydroxychloroquine is efficacious for COVID-19.	RCT	multicenter
10.1101/2020.07.20.20157651	A Cluster-Randomized Trial of Hydroxychloroquine as Prevention of Covid-19 Transmission and Disease. Background Current strategies for preventing severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections are limited to non-pharmacological interventions. Hydroxychloroquine (HCQ) has been proposed as a postexposure therapy to prevent Coronavirus disease 2019 (Covid-19) but definitive evidence is lacking. Methods We conducted an open-label, cluster-randomized trial including asymptomatic contacts exposed to a PCR-positive Covid-19 case in Catalonia, Spain. Clusters were randomized to receive no specific therapy (control arm) or HCQ 800mg once, followed by 400mg daily for 6 days (intervention arm). The primary outcome was PCR-confirmed symptomatic Covid-19 within 14 days. The secondary outcome was SARS-CoV-2 infection, either symptomatically compatible or a PCR-positive result regardless of symptoms. Adverse events (AEs) were assessed up to 28 days. Results The analysis included 2,314 healthy contacts of 672 Covid-19 index cases identified between Mar 17 and Apr 28, 2020. A total of 1,198 were randomly allocated to usual care and 1,116 to HCQ therapy. There was no significant difference in the primary outcome of PCR-confirmed, symptomatic Covid-19 disease (6.2% usual care vs. 5.7% HCQ; risk ratio 0.89 [95% confidence interval 0.54-1.46]), nor evidence of beneficial effects on prevention of SARS-CoV-2 transmission (17.8% usual care vs. 18.7% HCQ). The incidence of AEs was higher in the intervention arm than in the control arm (5.9% usual care vs 51.6% HCQ), but no treatment-related serious AEs were reported. Conclusions Postexposure therapy with HCQ did not prevent SARS-CoV-2 disease and infection in healthy individuals exposed to a PCR-positive case. Our findings do not support HCQ as postexposure prophylaxis for Covid-19.	RCT	multicenter
10.1101/2020.06.06.20122341	Effect of tocilizumab  in hospitalized patients with severe pneumonia COVID-19: a cohort study. Background. Tocilizumab, a drug targeting interleukin-6 administrated in the right timeframe may be beneficial in coronavirus-disease-2019 (COVID-19). We aimed to assess its benefit, drawing from observations in compassionately treated patients. Methods: In a retrospective case-control study, treatment effect (tocilizumab 400mg, single-dose) was assessed using three statistical methods: propensity-score matching, Cox multivariable survival and inverse probability score weighting (IPSW) analyses. Were included all patients hospitalized with COVID-19, who presented severity criteria with SpO2<96% despite O2-support >6L/min for more than 6 hours. Were excluded patients in critical care medicine department and those under invasive mechanical ventilation. Primary outcome was a composite of mortality and ventilation, with a maximum follow-up of 28 days. Results: 246 patients were included (106 treated by tocilizumab). They were 67.6 +/-15.3 years-old, with 95 (38.5%) women. Delay between first symptoms and inclusion was 8.4 +/-4.5 days. Overall, 105 (42.7%) patients presented the primary outcome, with 71 (28.9%) deaths during the 28-days follow-up. Propensity-score-matched 84 pairs of comparable patients. In the matched cohort (n=168), tocilizumab was associated with fewer primary outcomes (hazard ratio (HR)=0.49 (95% confidence interval (95CI)=0.3-0.81), p-value=0.005). These results were similar in the overall cohort (n=246), with Cox multivariable analysis yielding a protective association between tocilizumab and primary outcome (adjusted HR=0.26 (95CI=0.135-0.51, p=0.0001), confirmed by IPSW analysis (p<0.0001). Analyses on mortality with 28-days follow-up yielded similar results. Conclusion: In this retrospective study, tocilizumab single-dose was associated with improved survival without mechanical ventilation in patients with severe COVID-19.	observational study	single center
10.1101/2020.06.01.20119149	Tocilizumab for patients with COVID-19 pneumonia. The TOCIVID-19 prospective phase 2 trial. Background: Tocilizumab blocks pro-inflammatory activity of interleukin-6 (IL-6), involved in pathogenesis of pneumonia the most frequent cause of death in COVID-19 patients. Methods: A multicentre, single-arm, hypothesis-driven phase 2 trial was planned to study the effect of Tocilizumab on lethality rates at 14 and 30 days (co-primary endpoints). A cohort of patients consecutively enrolled after phase 2 was used as a validation dataset. A multivariable logistic regression was performed to generate hypotheses, while controlling for possible confounders. Results: out of 301 patients in phase 2 intention-to-treat (ITT) analysis, 180 (59.8%) received tocilizumab. With 67 death events, lethality rates were 18.4% (97.5%CI: 13.6-24.0, P=0.52) and 22.4% (97.5%CI: 17.2-28.3, P<0.001) at 14 and 30 days. Lethality rates were lower in the validation dataset, including 920 patients. No signal of specific drug toxicity was reported. The multivariable logistic regression suggests tocilizumab might be more effective in patients not requiring mechanical respiratory support at baseline. Also, it supports a positive effect on lethality rate of the use of corticosteroids. Conclusions: Tocilizumab reduced lethality rate at 30 days compared with null hypothesis, without significant toxicity. Such result support the use of tocilizumab while waiting for ongoing phase 3 trials.	other	multicenter
10.1101/2020.06.13.20130088	Compassionate Use of Tocilizumab in Severe SARS-CoV2 Pneumonia. When late administration is too late.. Introduction Tocilizumab is an interleukin 6 receptor antagonist which has been used for the treatment of severe SARS-CoV-2 pneumonia (SSP), aiming to ameliorate the cytokine release syndrome (CRS) -induced acute respiratory distress syndrome (ARDS). However, there is no data about the best moment for its administration along the course of the disease. Methods We provided tocilizumab on a compassionate-use basis to patients with SSP hospitalized (excluding intensive care and intubated cases) who required oxygen support to have a saturation >93%. Primary endpoint was intubation or death after 24 hours of its administration. Patients received at least one dose of 400 mg intravenous tocilizumab during March 8-2020, through April 20-2020. Findings A total of 207 patients were studied and 186 analysed. The mean age was 65 years and 68% were male. A co-existing condition was present in 68 % of cases. At baseline, 114 (61%) required oxygen support with FiO2 >0.5 % and 72 (39%) <0.5%. Early administration of tocilizumab, when the need of oxygen support was still below FiO2 <0.5%, was significantly more effective than given it in advanced stages (FiO2 >0.5 %), achieving lower rates of intubation or death (13% vs 37% repectively, p<0.001). Interpretation The benefit of tocilizumab in severe SARS-Cov-2 pneumonia is only expected when it is administrated before the need of high oxygen support.	observational study	single center
10.1101/2020.06.08.20125245	Effects of Tocilizumab on Mortality in Hospitalized Patients with COVID-19: A Multicenter Cohort Study. Background While there are no treatments with proven efficacy for patients with severe coronavirus disease 2019 (COVID 19), tocilizumab has been proposed as a candidate therapy, especially among patients with higher systemic inflammation. Methods We conducted a cohort study of patients hospitalized with COVID 19 in Spain. The primary outcome was time to death and the secondary outcome time to intensive care unit admission (ICU) or death. We used inverse probability weighting to fit marginal structural models adjusted for time varying covariates to determine the causal relationship between tocilizumab use and the outcomes. Results A total of 1,229 and 10,673 person/days were analyzed. In the adjusted marginal structural models, a significant interaction between tocilizumab use and high C reactive protein (CRP) levels was detected. Tocilizumab was associated with decreased risk of death (aHR 0.34, 95% CI 0.16 to 0.72, p=0.005) and ICU admission or death (aHR 0.38, 95% CI 0.19 to 0.81, p=0.011) among patients with baseline CRP >150 mg/L, but not among those with CRP [&le;]150 mg/L. Exploratory subgroup analyses yielded point estimates that were consistent with these findings. Conclusions In this large observational study, tocilizumab was associated with a lower risk of death or ICU or death in patients with higher CRP levels. While the results of ongoing clinical trials of tocilizumab in patients with COVID 19 will be important to establish its safety and efficacy, our findings have implications for the design of future clinical trials and support the use of tocilizumab among subjects with higher CRP levels.	observational study	multicenter
10.1101/2020.07.15.20150490	Observational Study of Haloperidol in Hospitalized Patients with Covid-19. Background: Haloperidol, a widely used antipsychotic, has been suggested as potential effective treatment for Covid-19 on the grounds of its in-vitro antiviral effects against SARS-CoV-2. Methods: We examined the association between haloperidol use and respiratory failure at AP-HP Greater Paris University hospitals. Data were obtained regarding all adult patients hospitalized with Covid-19 since the beginning of the epidemic. Study baseline was defined as the date of hospital admission. The primary endpoint was a composite of intubation or death and the secondary endpoint was discharge home among survivors in time-to-event analyses. We compared outcomes between patients who were exposed to haloperidol and those who were not, using a multivariable Cox regression model with inverse probability weighting according to the propensity score. Results: Of the 13,279 hospitalized adult patients with positive Covid-19 RT-PCR test, 667 patients (5.0%) were excluded because of missing data. Of the remaining 12,612 patients, 104 (0.8%) were exposed to haloperidol. Over a mean follow-up of 20.8 days, the primary endpoint of respiratory failure respectively occurred in 27 patients (26.0%) exposed to haloperidol and 1,700 patients (13.6%) who were not. Among survivors, the secondary endpoint of discharge home occurred in 26 patients (32.1%) who received haloperidol and 6,110 patients (55.3%) who did not. In the main analysis, there were no significant associations between haloperidol use and the primary (HR, 1.09; 95% CI, 0.60 to 1.97, p=0.772) and secondary (HR, 0.88; 95% CI, 0.50 to 1.53, p=0.643) endpoints. Results were similar in multiple sensitivity analyses. Conclusion: In this observational study involving patients with Covid-19 who had been admitted to the hospital, haloperidol use was not associated with risk of intubation or death, or with time to hospital discharge home. These results suggest that haloperidol is unlikely to have a clinical efficacy for Covid-19.	observational study	multicenter
10.1101/2020.07.15.20154310	Observational Study of Chlorpromazine in Hospitalized Patients with Covid-19. On the grounds of its anti-inflammatory and potential antiviral effects, chlorpromazine has been suggested to be effective treatment for Covid-19. We examined the association between chlorpromazine use and respiratory failure among all hospitalized adults with Covid-19 at the 39 Greater Paris University hospitals since the beginning of the epidemic. Study baseline was defined as the date of hospital admission. The primary endpoint was a composite of intubation or death in a time-to-event analysis adjusting for numerous potential confounders. We used a multivariable Cox model with inverse probability weighting according to the propensity score. Of the 12,217 adult inpatients with a positive Covid-19 RT-PCR test included in the analyses, 57 (0.47%) received chlorpromazine. Over a mean follow-up of 20.8 days, the primary endpoint occurred in 29 patients (50.9%) exposed to chlorpromazine and 1,899 patients (15.6%) who were not. In the main analysis, there was a positive significant association between chlorpromazine use and the outcome (HR, 1.67; 95% CI, 1.09 to 2.56, p=0.019), while a Cox regression in a matched analytic sample yielded non-significant association (1.38; 95% CI, 0.91 to 2.09, p=0.123). These findings suggest that chlorpromazine is unlikely to have a clinical efficacy for Covid-19.	observational study	multicenter
10.1101/2020.07.13.20149328	Effects of Tocilizumab in Critically Ill Patients With COVID-19: A Quasi-Experimental Study. Critically ill patients with COVID-19 may suffer from a cytokine release syndrome (CRS) characterized by remarkably high levels of interleukin 6 (IL-6). We assessed the effects of tocilizumab, an IL-6 receptor antagonist, on intra-hospital mortality and development of positive cultures in patients with COVID-19 admitted to the ICU. In this study, patients with COVID 19 admitted in the ICU who were treated with tocilizumab plus standard care were enrolled and compared to controls. Main outcome: 1) intra-hospital mortality; Secondary Outcomes: 1) the need for renal replacement therapy, 2) use of antibiotics and positive culture, and 3) inflammatory and oxygenation markers. Results: There was no difference in mortality, need for renal replacement therapy, use of antibiotics or positive cultures between the two groups. The use of corticosteroids was more frequent in the treatment group. Levels of C-reactive protein (CRP) and WBC (white blood cells) counts declined significantly faster in the treatment group. Oxygenation markers rose significantly higher in patients in the tocilizumab group as compared to controls. Conclusion: tocilizumab was associated with rapid improvement in oxygenation and a faster decrease of CRP and WBC counts in patients with COVID-19 and should be evaluated as rescue therapy for patients with progressive disease	observational study	single center
10.1101/2020.05.29.20117358	Tocilizumab for treatment of mechanically ventilated patients with COVID-19. Background Severe COVID-19 can manifest in rapid decompensation and respiratory failure with elevated inflammatory markers. This presentation is consistent with cytokine release syndrome in chimeric antigen receptor T cell therapy, for which IL-6 blockade is approved treatment. Methods We assessed effectiveness and safety of IL-6 blockade with tocilizumab in a single-center cohort of patients with COVID-19 requiring mechanical ventilation. The primary endpoint was survival probability post-intubation; secondary analyses included an ordinal illness severity scale integrating superinfections. Outcomes in patients who received tocilizumab compared to tocilizumab-untreated controls were evaluated using multivariable Cox regression with propensity score inverse probability weighting (IPTW). Findings 154 patients were included, of whom 78 received tocilizumab and 76 did not. Median follow-up was 47 days (range 28-67). Baseline characteristics were similar between groups, although tocilizumab-treated patients were younger (mean 55 vs. 60 years), less likely to have chronic pulmonary disease (10% vs. 28%), and had lower D-dimer values at time of intubation (median 2.4 vs. 6.5 mg/dL). In IPTW-adjusted models, tocilizumab was associated with a 45% reduction in hazard of death [hazard ratio 0.55 (95% CI 0.33, 0.90)] and improved status on the ordinal outcome scale [odds ratio per 1-level increase: 0.59 (0.36, 0.95)]. Though tocilizumab was associated with an increased proportion of patients with superinfections (54% vs. 26%; p<0.001), there was no difference in 28-day case fatality rate among tocilizumab-treated patients with versus without superinfection [22% vs. 15%; p=0.42]. Interpretation In this cohort of mechanically ventilated COVID-19 patients, tocilizumab was associated with a decreased likelihood of death despite higher superinfection occurrence. Randomized controlled trials are urgently needed to confirm these findings.	observational study	single center
10.1101/2020.07.20.20157891	Intravenous Immunoglobulin (IVIG) Significantly Reduces Respiratory Morbidity in COVID-19 Pneumonia: A Prospective Randomized Trial. Background. Interventions mitigating progression to mechanical ventilation in COVID-19 would markedly improve outcome and reduce healthcare utilization. We hypothesized that immunomodulation with IVIG would improve oxygenation and reduce length of hospital stay and progression to mechanical ventilation in COVID-19 pneumonia. Methods. Patients with COVID-19 were randomized 1:1 to prospectively receive standard of care (SOC) plus intravenous immunoglobulin (IVIG) 0.5 g/kg/day x 3 days with methylprednisolone 40 mg 30 minutes before infusion versus SOC alone. Results. 16 subjects received IVIG plus SOC and 17 SOC alone. The median age was 51 years for SOC and 58 years for IVIG. APACHE II scores and Charlson comorbidity indices were similar for IVIG and SOC (median 7.5 vs 7 and 2 for both, respectively). Seven SOC versus 2 IVIG subjects required mechanical ventilation (p=0.12, Fisher exact test). Among subjects with A-a gradient of >200 mm Hg at enrollment, the IVIG group showed i) a lower rate of progression to requiring mechanical ventilation (2/14 vs 7/12, p=0.038 Fisher exact test), ii) shorter median hospital length of stay (11 vs 19 days, p=0.01 Mann Whitney U), iii) shorter median ICU stay (2.5 vs 12.5 days, p=0.006 Mann Whitey U), and iv) greater improvement in PaO2/FiO2 at 7 days (median [range] change from time of enrollment +131 [+35 to +330] vs +44.5 [-115 to +157], p=0.01, Mann Whitney-U test) than SOC. Conclusion. This pilot prospective randomized study comprising largely of Latino patients showed that IVIG significantly improved hypoxia and reduced hospital length of stay and progression to mechanical ventilation in COVID-19 patients with A-a gradient >200 mm Hg.	RCT	multicenter
10.1101/2020.06.05.20113738	Tocilizumab is associated with reduction of the risk of ICU admission and mortality in patients with SARS-CoV-2 infection. Background In some patients the immune response triggered by SARS-CoV-2 is unbalanced, presenting an acute respiratory distress syndrome which in many cases requires intensive care unit (ICU) admission. The limitation of ICU beds has been one of the major burdens in the management around the world, therefore, clinical strategies to avoid ICU admission are needed. Objective We aimed to describe the influence of tocilizumab on the need of transfer to ICU or death in non-critically ill patients. Methods A retrospective study of 171 patients with SARS-CoV-2 infection that did not qualify as requiring transfer to ICU during the first 24h after admission to a conventional ward, were included. The criteria to receive tocilizumab was radiological impairment, oxygen demand or an increasing of inflammatory parameters, however, the ultimate decision was left to the attending physician judgement. The primary outcome was the need of ICU admission or death whichever came first. Results 77 patients received tocilizumab and 94 did not. The tocilizumab group had less ICU admissions (10.3% vs. 27.6%, P= 0.005) and need of invasive ventilation (0 vs 13.8%, P=0.001). In the multivariable analysis, tocilizumab remained as a protective variable (OR: 0.03, CI 95%: 0.007-0*1, P=0.0001) of ICU admission or death. Conclusions Tocilizumab in the early stages of the inflammatory flare, could avoid an important number of ICU admissions and mechanical ventilation use. The mortality rate of 10.3% among patients receiving tocilizumab appears to be lower than other reports.	observational study	single center
10.1101/2020.06.12.20122374	Temporal clinical and laboratory response to interleukin-6 receptor blockade with Tocilizumab in 89 hospitalized patients with COVID-19 pneumonia. Abstract: Background:. Emerging evidence links morbidity and mortality of pandemic COVID-19 pneumonia to an inflammatory cytokine storm. Methods: Eighty nine patients with COVID-19 pneumonia and heightened systemic inflammation (elevated serum C reactive protein and interleukin-6 levels) were treated with Tocilizumab (TCZ), a human monoclonal IgG1 antibody to the interleukin-6 receptor. Results: Clinical and laboratory improvement was seen comparing baseline and 1-2 day post-infusion indices. Among 72 patients not receiving mechanical ventilation, NEWS2 scores fell from 5 to 2 (p <0.001) C reactive protein levels fell from 95 to 14 mg/L (p <0.001) and lymphocyte counts rose from 900 to 1000/uL (p=0.036). Sixty three of 72 patients were discharged from hospital, one patient died, and 8 remained in hospital at time of writing. Among 17 patients receiving mechanical ventilation, despite a rapid decrease in CRP levels from 89 to 35 mg/L (p = 0.014) and early improvements in NEWS2 scores in 10 of 17, ten patients died and seven remain in hospital at time of writing. Overall, mortality was only seen in patients who had markedly elevated CRP levels (>30 mg/L) and low lymphocyte counts (<1000/uL) before TCZ administration. Conclusions: Inflammation and lymphocytopenia are linked to mortality in COVID-19. Inhibition of IL-6 activity by administration of Tocilizumab, an anti IL-6 receptor antibody is associated with rapid improvement in both CRP and lymphocyte counts and in clinical indices. Controlled clinical trials are needed to confirm the utility of IL-6 blockade in this setting. Additional interventions will be needed for patients requiring mechanical ventilation.	observational study	single center
10.1101/2020.07.30.20114959	Impact of tocilizumab administration on mortality in severe COVID-19. Background The novel coronavirus disease 2019 (COVID-19) worldwide pandemic has placed a significant burden on hospitals and healthcare providers. The immune response to this disease is thought to lead to a cytokine storm, which contributes to the severity of illness. There is an urgent need to confirm whether the use of tocilizumab provides a benefit in individuals with COVID-19. Methods A single-center propensity-score matched cohort study, including all consecutive COVID-19 patients, admitted to the medical center who were either discharged from the medical center or expired between March 1, 2020, and May 5, 2020, was performed. Patients were stratified according to the receipt of tocilizumab for cytokine storm and matched to controls using propensity scores. The primary outcome was in-hospital mortality. Results A total of 132 patients were included in the matched dataset (tocilizumab=66; standard of care=66). Approximately 73% of the patients were male. Hypertension (55%), diabetes mellitus (31%), and chronic pulmonary disease (15%) were the most common comorbidities present. There were 18 deaths (27.3%) in the tocilizumab group and 18 deaths (27.3%) in the standard of care group (odds ratio, 1.0; 95% confidence interval, 0.465 - 2.151; p=1.00). Advanced age, history of myocardial infarction, dementia, chronic pulmonary disease, heart failure, and malignancy were significantly more common in patients who died. Interpretation The current analysis does not support the use of tocilizumab for the management of cytokine storm in patients with COVID-19. Use of this therapeutic agent should be limited to the context of a clinical trial until more evidence is available.	observational study	single center
10.1101/2020.07.29.20164699	COVID-19 Recurrent Varies with Different Combinatorial Medical Treatments Determined by Machine Learning Approaches. Various medical treatments for COVID-19 are attempted. After patients are discharged, SARS-CoV-2 recurring cases are reported and the recurrence could profoundly impact patient healthcare and social economics. To date, no data on the effects of medical treatments on recurrence has been published. We analyzed the treatment data of combinations of ten different drugs for the recurring cases in a single medical center, Shenzhen, China. A total of 417 patients were considered and 414 of them were included in this study (3 deaths) with mild-to-critical COVID-19. Patients were treated by 10 different drug combinations and followed up for recurrence for 28 days quarantine after being discharged from the medical center between February and May, 2020. We applied the Synthetic Minority Oversampling Technique (SMOTE) to overcome the rare recurring events in certain age groups and performed Virtual Twins (VT) analysis facilitated by random forest regression for medical treatment-recurrence classification. Among those drug combinations, Methylprednisolone/Interferon/Lopinavir/Ritonavir/Arbidol led to the lowest recurring rate (0.133) as compared to the average recurring rate (0.203). For the younger group (age 20-27) or the older group (age 60-70), the optimal drug combinations are different, but the above combination is still the second best. For obese patients, the combination of Ribavirin/Interferon/Lopinavir/Ritonavir/Arbidol led to the lowest recurring rate for age group of 20-50, whereas the combination of Interferon/Lopinavir/Ritonavir/Arbidol led to lowest recurring rate for age group of 50-70. The insights into combinatorial therapy we provided here shed lights on the use of a combination of (biological and chemical) anti-virus therapy and/or anti-cytokine storm as a potentially effective therapeutic treatment for COVID-19.	observational study	single center
10.1101/2020.05.29.20109199	Therapeutic effectiveness of interferon-alpha2b against COVID-19: the Cuban experience. Background Effective therapies are needed to control the SARS-Cov-2 infection pandemic and reduce mortality associated with COVID-19. Several clinical studies have provided evidence for the antiviral effects of type I interferons (IFNs) in patients with respiratory coronaviruses. This study assessed the therapeutic efficacy of IFN-alpha 2b in patients infected with SARS-CoV-2 during the first month after the outbreak began in Cuba. Method This multicenter prospective observational study was conducted in 16 hospitals in 8 Cuban provinces. Participants were patients with confirmed SARS-CoV-2 infection detected from throat swab specimens by real time RT-PCR who gave informed consent and had no contraindications for IFN treatment. Patients received therapy as per the Cuban COVID protocol, that included a combination of oral antivirals (lopinavir/ritonavir and chloroquine) with intramuscular administration of IFN-alpha 2b (Heberon Alpha R, Center for Genetic Engineering and Biotechnology, Havana), 3 times per week, for 2 weeks. The primary endpoint was the proportion of patients discharged from hospital (without clinical and radiological symptoms and non-detectable virus by RT-PCR). The secondary endpoint was the case fatality rate (CFR), defined as the number of confirmed deaths divided by the number of confirmed cases. Results From March 11th to April 14th, 814 patients were confirmed SARS-CoV-2 positive in Cuba, 761 (93.4%) were treated with Heberon Alpha R and 53 received the approved protocol without IFN treatment. The proportion of fully recovered patients was higher in the IFN-treated compared with non-IFN treated group (95.4% vs 26.1%, p<0.01). The CFR for all patients was 2.95%, and for those patients who received IFN-alpha 2b the CFR was reduce to 0.92. The estimated global CFR is 6.34% and 4.05% for the Americas reported by WHO and PAHO, respectively. In this study, 82 patients (10.1%) required intensive care and, of these, 42 (5.5%) were treated with IFN. Conclusions This report provides preliminary evidence for the therapeutic effectiveness of IFN alpha-2b for COVID-19 and suggests that the use of Heberon Alpha R may contribute to complete recovery.	observational study	multicenter
10.1101/2020.05.27.20114694	The association between treatment with heparin and survival in patients with Covid-19. Objectives: This study investigates the association between the treatment with heparin and mortality in patients admitted with Covid-19. Methods: Routinely recorded, clinical data, up to the 24th of April 2020, from the 2075 patients with Covid-19, admitted in 17 hospitals in Spain between the 1st of March and the 20th of April 2020 were used. The following variables were extracted for this study: age, gender, temperature, and saturation of oxygen on admission, treatment with heparin, hydroxychloroquine, azithromycin, steroids, tocilizumab, a combination of lopinavir with ritonavir, and oseltamivir, together with data on mortality. Multivariable logistic regression models were used to investigate the associations. Results: At the time of collecting the data, 301 patients had died, 1447 had been discharged home from the hospitals, 201 were still admitted, and 126 had been transferred to hospitals not included in the study. Median follow up time was 8 (IQR:5-12) days. Heparin had been used in 1734 patients. Heparin was associated with lower mortality when the model was adjusted for age and gender, with OR (95%CI): 0.55 (0.37-0.82) p=0.003. This association remained significant when saturation of oxygen <90%, and temperature >37C were added to de model with OR: 0.54(0.36-0.82) p=0.003, and also when all the other drugs were included as covariates OR: 0.42 (0.26-0.66) p<0.001. Conclusions: The association between heparin and lower mortality observed in this study can be acknowledged by clinicians in hospitals and in the community. Randomized controlled trials to assess the causal effects of heparin in different therapeutic regimes are required.	observational study	multicenter
10.1101/2020.07.18.20157008	Adjunctive Corticosteroids for COVID-19: A Retrospective Cohort Study. Background: Coronavirus disease 2019 (COVID-19) is associated with severe pneumonia, respiratory failure and death. We aim to evaluate the efficacy of adjunctive corticosteroids in the management of COVID-19. Methods: This is a retrospective cohort study of hospitalized adults ([&ge;]18 years) who were diagnosed with COVID-19 and were given treatment. Treatment included hydroxycholoroquine and lopinavir-ritonavir. Corticosteroids were included as adjunctive therapy in mid-April, 2020. We compared composite outcomes of clinical progression and invasive mechanical ventilation (MV) or death between group that received treatment only (Group A) versus group that received adjunctive corticosteroids (Group B). Entropy balancing was used to generate stabilized weight for covariates between treatment groups. Unweighted Kaplan-Meir curves, weighted and adjusted Cox regression analysis were used to estimate effect of adjunctive corticosteroids on composite outcomes. Subgroup analysis was performed on those with pneumonia. Results: Of 1046 patients with COVID-19, 57 received treatment alone (Group A) and 35 received adjunctive corticosteroids in addition to treatment (Group B). Median day of illness at treatment initiation was 5 day. There were 44 patients with pneumonia; 68.9% of them were not requiring supplemental oxygen at treatment initiation. Overall, 17 (18.5%) of 92 patients had clinical progression including 13 (22.8%) of 57 patients in Group A versus 4 (11.4%) of 35 patients in Group B (p=0.172). Unweighted Kaplan-Meier estimates showed no significant difference in the proportion of patients who had clinical progression or invasive MV or death between the 2 treatment groups. However in those with pneumonia, there were lower proportions of patients in Group B with clinical progression (11.1% , 95% CI 0.0 - 22.2 versus 58.8%, 95% CI 27.3 - 76.7, log rank p<0.001 ); and invasive MV or death (11.3%, 95% CI 0.0 - 22.5 versus 41.2%, 95% CI 12.4. - 60.5, log rank p=0.016). In weighted and adjusted cox regression analysis, patients in Group B were less likely to have clinical progression, (adjusted HR [aHR] 0.08, 95% CI 0.01-0.99, p=0.049) but there was no statistical significant difference in risk of requiring invasive MV or death (aHR 0.22, 95%CI 0.02 - 2.54, p=0.22). In subgroup with pneumonia, patients in Group B were significantly at lower risk of clinical progression (aHR 0.15, 95% CI 0.06 - 0.39, p<0.001) and requiring invasive MV compared to Group A (aHR 0.30, 0.10-0.87, p=0.029). Conclusions: Use of adjunctive corticosteroids is associated with lower risk of clinical progression and invasive MV or death, especially in those with pneumonia. Concurrent use of antivirals and corticosteroids should be considered in the management of COVID-19 related pneumonia.	observational study	single center
10.1101/2020.06.22.20134957	Effects of Anticoagulants and Corticosteroids therapy in patients affected by severe COVID-19 Pneumonia. Background In the absence of a standard of treatment for COVID-19, the combined use of anti-inflammatory (corticosteroids and Enoxaparin) and antiviral drugs may be more effective than using either modality alone in the treatment of COVID-19. Methods Patients hospitalized between April 10th, 2020, through May 10th, 2020, who had confirmed COVID-19 infection with clinical or radiographic evidence of pneumonia, in which 65 patients have moderate COVID-19 pneumonia, and 63 patients have severe COVID-19 pneumonia. All patients received early combination therapy of anti-inflammatory (corticosteroids and Enoxaparin) and antiviral drugs. They assessed for type and duration of treatment, and days need to wean from oxygen therapy, length of stay, virus clearance time, and complication or adverse events. All patients had more than 28 days follow up after discharge from the hospital. Results Moderate COVID-19 pneumonia group were 65 patients who received Enoxaparin, antiviral drugs, empirical antibiotics for pneumonia, and standard treatment for comorbidity. Male patients were 50 (76.9 %) and female patients were 15 (23.1 %). 34 (52.3 %) patients have comorbidity, 25 (38.5%) patients have Diabetes Mellitus and 2 (3.1 %) pregnant ladies. 19 (29.2 %) patients were on low flow oxygen therapy, 3L oxygen or less to maintain oxygen saturation more than 92%. All patients discharged home with no major or minor bleeding complications or significant complications. Severe COVID-19 pneumonia group were 63 patients who received methylprednisolone, enoxaparin, antiviral drugs, empirical antibiotics for pneumonia, and standard treatment for comorbidity. Male patients were 55 (87.3 %) and female patients were 8 (12.7 %). 37 (58.7 %) patients have comorbidity, and 24 (38.1%) patients have Diabetes Mellitus. 32 (50.8 %) patients were on low flow oxygen therapy, 4-9L oxygen, and 31 (49.2 %) patients were on low flow oxygen therapy, 10L oxygen or more, including 12 patients on a non-rebreathing mask. Patients received methylprednisolone were 37 (58.7 %) for 3 days, 16 (25.4 %) for 5 days and 10 (15.9 %) for more than 5 days. Sixty-two patients discharged home with one patient had a long stay, and the other two transferred to ICU. One long-stay patient transferred to ICU on low flow oxygen therapy. Conclusion Early use of a combined anti-inflammatory (corticosteroids and Enoxaparin) and antiviral drugs treatment in patients with moderate to severe COVID-19 pneumonia prevent complications of the disease and improve clinical outcomes.	observational study	single center
